                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.51,                 2.2121,                 1.0997,                0.78972,                0.77549,                 0.8662,                 0.5868,                  1.192,                 1.0551,                0.98792,             0.00023794,             0.00023794,             0.00023794
                      2,                 1.3788,                  1.187,                 1.0494,                0.86329,                0.85733,                0.91601,                0.62011,                 1.1824,                0.88858,                0.98216,             0.00042882,             0.00042882,             0.00042882
                      3,                  1.344,                0.99988,                 1.0336,                0.90324,                0.87265,                0.93756,                0.64668,                 1.1458,                0.79437,                0.96544,             0.00057258,             0.00057258,             0.00057258
                      4,                 1.3069,                0.90019,                 1.0188,                0.92067,                0.89192,                0.94318,                0.65175,                 1.1284,                0.73918,                0.96409,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.2916,                0.85074,                   1.01,                0.90658,                0.89757,                0.94142,                0.65685,                 1.1076,                0.71979,                0.95532,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.2646,                0.79376,                0.99858,                0.91735,                0.90048,                0.94491,                0.66082,                 1.1032,                0.69359,                0.94781,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.2395,                0.75108,                0.99028,                0.93413,                0.90678,                 0.9497,                0.67336,                 1.1017,                0.66323,                 0.9459,             0.00036057,             0.00036057,             0.00036057
                      8,                   1.21,                0.71608,                0.97879,                 0.9217,                0.92032,                0.95248,                0.67912,                 1.0826,                0.63671,                0.94283,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.1863,                0.68332,                0.96798,                0.93656,                0.92133,                0.95478,                 0.6804,                 1.0725,                0.61149,                0.93654,              0.0002192,              0.0002192,              0.0002192
                     10,                  1.166,                0.65483,                0.96072,                0.92873,                0.92803,                 0.9559,                 0.6837,                 1.0789,                0.60003,                 0.9379,             0.00014851,             0.00014851,             0.00014851
