                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1566,                 1.2381,                  1.045,                0.33013,                0.74217,                0.35013,                0.21909,                 1.0426,                  9.002,                0.96548,             0.00015164,             0.00015164,             0.00015164
                      2,                 1.0351,                0.93684,                0.99792,                0.35315,                0.76431,                0.37614,                0.24708,                0.95869,                 8.4948,                 0.9374,             0.00027328,             0.00027328,             0.00027328
                      3,                 0.9945,                0.89765,                0.98019,                0.35804,                0.80317,                0.37962,                0.25831,                0.92659,                 8.2852,                0.92832,             0.00036489,             0.00036489,             0.00036489
                      4,                0.94382,                0.80719,                0.96202,                0.36966,                0.82105,                0.40289,                0.28339,                0.86848,                 7.4909,                0.90512,             0.00031986,             0.00031986,             0.00031986
                      5,                0.91084,                0.77853,                0.95065,                0.36501,                0.81386,                0.40465,                0.28046,                0.86793,                 8.0052,                0.90714,             0.00031986,             0.00031986,             0.00031986
                      6,                0.86927,                0.73929,                0.93782,                0.38937,                0.80857,                 0.4041,                0.28448,                0.83927,                  7.849,                0.89257,             0.00027482,             0.00027482,             0.00027482
                      7,                0.83522,                0.69343,                0.92786,                0.38796,                0.82591,                0.41386,                0.30051,                0.80898,                 8.7288,                0.88689,             0.00022978,             0.00022978,             0.00022978
                      8,                0.79925,                0.70293,                0.91676,                0.37532,                 0.8551,                0.41064,                0.29911,                0.78737,                 9.7272,                0.87519,             0.00018473,             0.00018473,             0.00018473
                      9,                0.76743,                0.62911,                0.90786,                0.39446,                0.80901,                 0.4156,                 0.3038,                0.76609,                 9.6267,                0.87391,             0.00013969,             0.00013969,             0.00013969
                     10,                0.73416,                0.57747,                0.89994,                0.39068,                0.82161,                0.41077,                0.30552,                0.74312,                 10.261,                0.86742,              9.464e-05,              9.464e-05,              9.464e-05
