                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7442,                   1.46,                0.86675,                0.45435,                0.25674,                0.21828,                0.09568,                 1.7436,                 1.7665,                0.82714,             0.00041111,             0.00041111,             0.00041111
                      2,                 1.6811,                 1.0321,                  0.832,                0.65358,                0.44316,                0.42845,                0.19238,                 1.6578,                 1.0859,                0.83012,             0.00081139,             0.00081139,             0.00081139
                      3,                 1.7557,                0.99795,                 0.8298,                0.65247,                0.42773,                0.41654,                0.19764,                 1.6161,                0.93936,                0.83352,              0.0011952,              0.0011952,              0.0011952
                      4,                 1.7209,                 1.1653,                0.83017,                0.62959,                0.42565,                0.42676,                0.20984,                 1.5947,                 0.9473,                0.82619,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.6187,                0.96828,                0.82045,                0.73894,                0.45659,                0.48355,                0.25566,                 1.4407,                0.86638,                0.81904,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.5233,                0.84671,                0.81644,                0.69363,                0.51236,                0.50058,                0.27263,                 1.3466,                0.80083,                0.81616,               0.001151,               0.001151,               0.001151
                      7,                 1.4819,                0.83841,                0.80678,                0.79448,                0.46151,                0.52479,                0.29454,                 1.3174,                0.71249,                0.81354,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.4948,                0.81029,                0.80813,                0.79237,                0.49423,                0.53388,                 0.2909,                 1.3026,                0.74723,                 0.8131,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4661,                0.76595,                0.80562,                0.78299,                0.49152,                0.53429,                0.29611,                 1.3117,                0.68409,                0.80957,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4928,                0.77921,                0.81098,                0.78143,                 0.4752,                0.52965,                0.27361,                 1.4836,                0.71728,                0.81746,               0.001052,               0.001052,               0.001052
                     11,                 1.4813,                0.76008,                0.80779,                0.84498,                0.49139,                0.56234,                0.30467,                 1.3605,                0.68891,                0.81367,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.4136,                0.72049,                0.79893,                0.82989,                 0.4674,                0.55756,                0.30652,                 1.3068,                0.66438,                0.81296,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.4946,                0.73761,                 0.8098,                0.76086,                0.48172,                0.53432,                0.28957,                  1.392,                0.68558,                0.81653,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.4523,                0.71658,                0.80378,                0.81635,                0.56023,                0.60624,                0.33654,                 1.3094,                0.62739,                0.81305,               0.000953,               0.000953,               0.000953
                     15,                 1.3877,                0.68127,                0.79992,                0.84309,                0.49746,                0.57679,                0.31884,                 1.2511,                0.63247,                 0.8079,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3911,                0.69721,                0.80156,                 0.8358,                0.49851,                0.58131,                0.31249,                 1.2911,                0.64615,                0.80734,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.3794,                0.69109,                0.79589,                0.78396,                0.52295,                0.57523,                0.29597,                 1.3219,                0.65859,                0.81344,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3155,                 0.6603,                 0.7961,                0.80313,                0.54484,                0.60168,                0.33962,                 1.2218,                 0.5945,                0.80708,               0.000854,               0.000854,               0.000854
                     19,                 1.4391,                0.71233,                0.79667,                0.81229,                0.51075,                0.58442,                0.31937,                 1.3019,                0.63431,                0.80967,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.4735,                 0.7352,                 0.8049,                0.80932,                0.49119,                0.56269,                0.29306,                 1.3907,                0.67617,                0.81142,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.4531,                 0.7106,                0.79479,                0.86017,                0.52074,                0.59606,                0.33165,                 1.2832,                 0.6238,                0.80902,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.3559,                 0.6682,                0.79111,                0.89706,                0.49046,                 0.6095,                0.35408,                  1.166,                 0.5821,                0.80536,               0.000755,               0.000755,               0.000755
                     23,                 1.3424,                0.66969,                0.79675,                0.77948,                 0.5437,                0.58482,                0.32912,                 1.2609,                0.60895,                0.80705,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.3081,                0.64992,                0.79825,                0.85545,                0.53167,                0.60724,                0.34524,                 1.2239,                0.58932,                0.80321,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.3447,                0.64341,                0.79729,                0.73697,                 0.5679,                0.61883,                0.36096,                  1.182,                0.57522,                0.80375,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.2621,                0.62305,                0.79567,                0.83647,                0.52564,                0.60828,                0.34165,                 1.1808,                0.56876,                 0.8004,               0.000656,               0.000656,               0.000656
                     27,                  1.257,                0.61231,                0.79217,                 0.8796,                0.51473,                0.63183,                0.37001,                 1.1215,                0.53315,                0.80013,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2175,                0.59676,                0.79144,                0.77551,                0.54925,                0.64465,                0.38487,                 1.1078,                0.53606,                0.79874,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.2445,                0.60457,                0.78873,                0.79636,                0.55856,                0.64824,                0.38229,                 1.1297,                0.52965,                 0.8008,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.2885,                0.59957,                0.78709,                0.82246,                0.52247,                0.63541,                0.36007,                 1.2468,                0.56043,                0.80153,               0.000557,               0.000557,               0.000557
                     31,                 1.2657,                0.59301,                0.78837,                0.75501,                0.51625,                0.59937,                0.35841,                 1.1745,                0.56112,                0.79964,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.2338,                0.59046,                0.78631,                0.76929,                 0.5565,                0.64205,                 0.4003,                 1.0715,                 0.5305,                0.79813,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.2377,                  0.574,                0.78196,                 0.8087,                0.58117,                0.66431,                0.41068,                 1.1005,                 0.5167,                0.79664,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.1754,                0.56576,                0.78777,                0.81411,                0.54483,                0.66134,                0.41209,                 1.0655,                0.51153,                0.79678,               0.000458,               0.000458,               0.000458
                     35,                 1.2409,                0.58848,                0.78681,                0.76196,                 0.5485,                0.63599,                0.37146,                 1.1548,                 0.5399,                0.80122,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.2326,                0.58573,                 0.7885,                0.76298,                0.61379,                0.67095,                0.39828,                 1.1207,                0.52901,                0.79696,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1779,                0.56089,                0.79172,                0.89519,                0.57191,                0.66924,                0.40882,                 1.0753,                0.51585,                0.79607,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.2193,                0.56856,                0.77902,                0.81197,                0.56545,                 0.6572,                0.38408,                 1.0964,                0.50999,                0.79699,               0.000359,               0.000359,               0.000359
                     39,                 1.1384,                0.53474,                 0.7893,                0.81981,                0.57599,                0.67934,                0.40892,                 1.0282,                0.49293,                0.79616,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1502,                 0.5478,                0.78004,                0.76445,                0.59294,                 0.6652,                0.41624,                 1.0214,                0.48401,                0.79441,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0901,                0.52759,                0.78632,                0.68141,                0.59153,                0.65914,                0.40197,                 1.0413,                0.50494,                0.79547,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0747,                0.51812,                0.78798,                0.72259,                0.58404,                0.64816,                0.40352,                 1.0219,                0.49093,                 0.7943,                0.00026,                0.00026,                0.00026
