                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1479,                 2.7611,                0.92641,                0.70043,                0.19758,                0.21729,                0.10627,                 1.6756,                 3.2098,                0.80571,             0.00033169,             0.00033169,             0.00033169
                      2,                 1.9161,                 1.4857,                0.87329,                0.76029,                0.26726,                0.31459,                0.15298,                 1.5252,                 2.4176,                0.77561,             0.00065186,             0.00065186,             0.00065186
                      3,                 1.7667,                 1.2375,                0.85456,                 0.7499,                0.44372,                0.53915,                0.25513,                 1.4418,                 1.8676,                0.75875,             0.00095882,             0.00095882,             0.00095882
                      4,                 1.7331,                 1.1341,                0.84722,                0.76721,                 0.5556,                0.59476,                0.27947,                 1.7895,                 2.0528,                 0.8465,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.7352,                 1.0976,                0.84557,                0.84037,                 0.5957,                0.63956,                0.31592,                 1.6919,                 2.1764,                0.84593,              0.0009406,              0.0009406,              0.0009406
                      6,                 1.6877,                 1.0135,                0.83952,                0.86118,                0.60853,                0.66543,                0.34301,                  1.632,                 1.8292,                0.83864,              0.0009208,              0.0009208,              0.0009208
                      7,                 1.6718,                0.94453,                0.83885,                0.88257,                0.58966,                0.66348,                0.33737,                 1.6964,                 1.6548,                0.84029,               0.000901,               0.000901,               0.000901
                      8,                 1.6357,                0.91298,                0.83432,                0.86839,                 0.6053,                0.67325,                0.34163,                 1.6092,                 1.4357,                0.83094,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.6226,                0.90317,                0.83501,                0.84824,                0.61069,                0.64863,                0.32781,                 1.6227,                 1.4061,                0.83846,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.5794,                0.88674,                0.83307,                0.88456,                0.57777,                0.68321,                0.35573,                 1.5524,                  1.306,                0.83459,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.5519,                0.85568,                0.83187,                0.86222,                0.62184,                 0.6852,                0.35666,                 1.5833,                 1.2378,                0.83392,              0.0008218,              0.0008218,              0.0008218
                     12,                  1.558,                0.83963,                0.82812,                 0.8495,                0.63221,                0.67117,                 0.3332,                 1.7097,                 1.2203,                0.83642,               0.000802,               0.000802,               0.000802
                     13,                 1.5641,                0.81582,                0.83055,                0.86384,                0.65308,                0.69052,                0.36532,                 1.5629,                 1.1327,                0.83058,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.5134,                0.81993,                0.82383,                0.88837,                0.63741,                0.69824,                0.34914,                 1.5958,                 1.1446,                0.83601,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.4971,                 0.8167,                0.82671,                0.87107,                0.62153,                0.68085,                0.33664,                 1.6082,                 1.2518,                0.83068,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.4938,                0.79668,                0.82987,                0.88985,                0.65706,                0.71437,                0.38524,                 1.4952,                 1.0477,                0.82416,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.5175,                0.77434,                0.82353,                0.86591,                0.66697,                0.71445,                0.38589,                 1.4817,                 1.0207,                0.82565,               0.000703,               0.000703,               0.000703
                     18,                 1.4737,                0.75222,                0.82422,                0.91486,                0.63649,                0.71545,                0.38508,                 1.5542,                 1.0464,                0.82648,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.4585,                0.73666,                0.82127,                0.87377,                0.66052,                 0.6974,                0.38144,                 1.4996,                 1.0189,                 0.8216,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.4697,                0.74635,                0.82211,                 0.9086,                0.66205,                0.71605,                0.38716,                 1.5672,                 1.0176,                0.81983,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.4941,                0.75041,                 0.8216,                0.86958,                0.66857,                0.71804,                0.39588,                  1.551,                  1.021,                0.82241,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.4871,                0.74029,                 0.8188,                0.85989,                0.66698,                0.71117,                0.38251,                 1.5581,                 1.0384,                0.82477,               0.000604,               0.000604,               0.000604
                     23,                 1.4465,                0.73037,                0.82192,                0.89864,                0.66738,                0.71715,                0.39962,                 1.5339,                 1.0205,                0.82527,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.4655,                0.71609,                0.82056,                0.87553,                0.67033,                0.71476,                0.37923,                 1.6405,                0.98966,                0.82794,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.4128,                0.69999,                0.81643,                 0.9074,                0.65408,                 0.7216,                0.40169,                 1.4967,                0.93657,                0.82322,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.3971,                0.69403,                0.81769,                0.70433,                0.68614,                0.72387,                0.39169,                 1.4666,                0.90552,                 0.8199,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.4297,                0.69595,                0.81775,                0.75397,                0.64878,                0.71896,                0.40567,                 1.4203,                0.91746,                0.81949,               0.000505,               0.000505,               0.000505
                     28,                 1.4138,                 0.7002,                0.81573,                0.91188,                0.65819,                0.72084,                0.40257,                 1.5475,                0.96757,                0.82013,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.4244,                0.70309,                0.81569,                0.73905,                0.63993,                0.71646,                0.40433,                 1.5188,                0.95829,                0.82182,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.4018,                0.69129,                0.81586,                0.69366,                0.68259,                0.72105,                0.39403,                 1.5406,                 0.9088,                 0.8222,              0.0004456,              0.0004456,              0.0004456
                     31,                  1.402,                0.68327,                0.81271,                 0.7347,                0.66251,                0.71499,                0.40993,                 1.5292,                0.90865,                0.81744,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.3799,                0.68005,                0.81488,                0.79201,                0.65277,                0.72524,                0.41426,                 1.5251,                0.89516,                0.81698,               0.000406,               0.000406,               0.000406
                     33,                 1.3833,                0.67179,                0.81327,                0.77174,                0.69011,                0.72597,                0.40821,                  1.452,                0.82119,                0.81411,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.3617,                0.66062,                0.81641,                0.80843,                0.68184,                0.72845,                0.40985,                 1.4057,                0.83249,                0.81383,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.3795,                0.67135,                0.81676,                 0.7418,                0.65136,                0.70862,                0.40377,                 1.4747,                0.85285,                0.81892,              0.0003466,              0.0003466,              0.0003466
                     36,                  1.364,                0.66031,                0.81465,                0.78202,                0.69764,                0.73296,                0.40961,                 1.4323,                0.82328,                0.81318,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.3659,                0.65397,                0.81259,                0.76611,                0.66035,                0.71981,                0.41232,                 1.4125,                0.81481,                0.81347,               0.000307,               0.000307,               0.000307
                     38,                 1.3443,                0.65717,                0.81234,                0.74349,                0.68272,                0.72895,                0.41407,                 1.4357,                0.86227,                0.81516,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.3821,                0.66703,                0.81138,                0.68552,                0.68572,                0.72178,                0.41258,                 1.4511,                0.85807,                0.81819,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.3541,                0.63638,                0.80987,                0.76121,                0.68961,                0.73802,                0.42112,                 1.4228,                0.82353,                0.81523,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.2646,                0.64121,                0.81217,                0.84938,                0.68395,                0.73402,                0.41189,                 1.4193,                0.86147,                0.81329,              0.0002278,              0.0002278,              0.0002278
                     42,                  1.264,                0.67064,                0.80932,                0.77696,                0.69972,                0.73963,                0.41726,                 1.4221,                0.82689,                0.81322,               0.000208,               0.000208,               0.000208
                     43,                 1.2601,                0.61909,                0.81028,                0.82582,                0.70381,                0.73659,                0.41464,                 1.4062,                0.83437,                0.81269,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.2512,                0.61592,                0.81046,                0.84603,                0.68326,                0.74368,                0.41562,                 1.5023,                0.90341,                0.81472,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.2622,                0.60743,                0.81321,                 0.8389,                0.70322,                0.74607,                0.42246,                 1.3895,                0.84709,                0.81208,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.2398,                0.61517,                 0.8086,                0.80775,                0.70599,                0.74011,                 0.4144,                 1.4172,                0.89924,                0.81205,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.2257,                0.59654,                0.80966,                0.83432,                0.69822,                 0.7499,                 0.4283,                  1.404,                0.89182,                0.81257,               0.000109,               0.000109,               0.000109
                     48,                 1.2374,                0.61692,                0.80799,                0.83413,                0.69417,                0.74815,                0.42737,                 1.4173,                0.87598,                0.81168,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.2335,                0.61329,                 0.8118,                0.80971,                0.71421,                0.74353,                0.42862,                 1.4356,                0.85684,                0.81139,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.2291,                0.59023,                0.80799,                0.79427,                0.69495,                0.73063,                0.42378,                 1.4383,                 0.8312,                0.81121,               4.96e-05,               4.96e-05,               4.96e-05
